i,c,d,l,s,pr
733,121,7,531,881.000000,0.0494141
734,122,7,529,879.000000,0.103918
735,122,7,529,879.000000,0.048301
736,123,7,525,875.000000,0.218512
737,124,7,517,867.000000,1
738,124,7,515,865.000000,0.215981
739,124,7,515,865.000000,0.0994906
740,125,7,513,863.000000,0.21344
741,125,7,517,867.000000,0.0207342
742,126,7,513,863.000000,0.459227
743,126,7,513,863.000000,0.0959671
744,126,7,513,863.000000,0.0950891
745,126,7,513,863.000000,0.0942123
746,126,7,513,863.000000,0.0933367
747,126,7,513,863.000000,0.0924625
748,127,7,511,861.000000,0.203188
749,127,7,507,857.000000,0.449329
750,127,7,507,857.000000,0.200603
751,127,7,507,857.000000,0.199308
752,127,7,503,853.000000,1
753,127,7,503,853.000000,0.196712
754,127,7,503,853.000000,0.19541
755,127,7,503,853.000000,0.194107
756,127,7,503,853.000000,0.192802
757,127,7,503,853.000000,0.191495
758,128,7,501,851.000000,0.436104
759,128,7,501,851.000000,0.188876
760,128,7,501,851.000000,0.187563
761,128,7,501,851.000000,0.186249
762,128,7,497,847.000000,1
763,129,7,495,845.000000,0.428503
764,129,7,495,845.000000,0.182295
765,129,7,495,845.000000,0.180974
766,128,7,497,847.000000,0.0761457
767,128,7,497,847.000000,0.178327
768,129,7,493,843.000000,1
769,129,7,495,845.000000,0.0736305
770,129,7,495,845.000000,0.174344
771,130,7,493,843.000000,0.415949
772,131,7,491,841.000000,0.414345
773,131,7,491,841.000000,0.170348
774,132,7,488,838.000000,0.64118
