i,c,d,l,s
798,2791,24,1149,2466.000000
799,2791,24,1149,2466.000000
800,2791,24,1149,2466.000000
801,2791,24,1149,2466.000000
802,2791,24,1149,2466.000000
803,2791,24,1149,2466.000000
804,2791,24,1149,2466.000000
805,2791,24,1149,2466.000000
806,2791,24,1149,2466.000000
807,2791,24,1149,2466.000000
808,2791,24,1149,2466.000000
809,2791,24,1149,2466.000000
810,2791,24,1149,2466.000000
811,2791,24,1149,2466.000000
812,2791,24,1149,2466.000000
813,2791,24,1149,2466.000000
814,2791,24,1149,2466.000000
815,2791,24,1149,2466.000000
816,2791,24,1149,2466.000000
817,2791,24,1149,2466.000000
818,2791,24,1149,2466.000000
819,2791,24,1149,2466.000000
820,2791,24,1149,2466.000000
821,2791,24,1149,2466.000000
822,2791,24,1149,2466.000000
823,2791,24,1149,2466.000000
824,2791,24,1149,2466.000000
825,2791,24,1149,2466.000000
826,2791,24,1149,2466.000000
827,2791,24,1149,2466.000000
828,2791,24,1149,2466.000000
829,2791,24,1149,2466.000000
830,2791,24,1149,2466.000000
831,2791,24,1149,2466.000000
832,2791,24,1149,2466.000000
833,2791,24,1149,2466.000000
834,2791,24,1149,2466.000000
835,2791,24,1149,2466.000000
836,2791,24,1149,2466.000000
837,2791,24,1149,2466.000000
838,2791,24,1149,2466.000000
839,2791,24,1149,2466.000000
840,2791,24,1149,2466.000000
841,2791,24,1149,2466.000000
842,2791,24,1149,2466.000000
843,2791,24,1149,2466.000000
844,2791,24,1149,2466.000000
845,2791,24,1149,2466.000000
846,2791,24,1149,2466.000000
847,2791,24,1149,2466.000000
848,2791,24,1149,2466.000000
849,2791,24,1149,2466.000000
850,2791,24,1149,2466.000000
851,2791,24,1149,2466.000000
852,2791,24,1149,2466.000000
853,2791,24,1149,2466.000000
854,2791,24,1149,2466.000000
855,2791,24,1149,2466.000000
856,2791,24,1149,2466.000000
857,2791,24,1149,2466.000000
858,2791,24,1149,2466.000000
859,2791,24,1149,2466.000000
860,2791,24,1149,2466.000000
861,2791,24,1149,2466.000000
862,2791,24,1149,2466.000000
863,2791,24,1149,2466.000000
864,2791,24,1149,2466.000000
865,2791,24,1149,2466.000000
866,2791,24,1149,2466.000000
867,2791,24,1149,2466.000000
868,2791,24,1149,2466.000000
869,2791,24,1149,2466.000000
870,2791,24,1149,2466.000000
871,2791,24,1149,2466.000000
