nCospec,nIndividualDups,nAllDupEvents,nJointDups,nXtinc,nHostSwitch,nLineageSort,codivs,dups,losses,cost,sdTime,mrDups,mrLosses,mrCost,mrTime,nH,nP,rB,pJ
754,91,4,4,0,0,676,761,5,595,645,9.146479368209839,4,588,628,0.34964942932128906,50,80,2.0,0.5
1147,122,4,4,0,0,1076,1155,5,1015,1065,11.784732341766357,6,1005,1065,7.55307412147522,50,80,2.0,0.5
4108,639,6,6,0,0,3947,4143,13,3839,3969,51.74211859703064,8,3846,3926,2.0863213539123535,50,80,2.0,0.5
718,97,5,5,0,0,733,728,5,680,730,6.088120222091675,6,674,734,2.777635097503662,50,80,2.0,0.5
1535,201,4,4,0,0,1538,1549,6,1473,1533,13.719420194625854,4,1477,1517,31.96835160255432,50,80,2.0,0.5
1403,165,3,3,0,0,1389,1413,5,1343,1393,14.857694387435913,3,1352,1382,0.1465921401977539,50,80,2.0,0.5
567,30,3,3,0,0,589,572,3,501,531,6.572099447250366,4,500,540,0.14614295959472656,50,80,2.0,0.5
851,65,2,2,0,0,881,860,2,820,840,5.421449899673462,3,810,840,0.06302809715270996,50,80,2.0,0.5
1058,181,6,6,0,0,1007,1078,8,900,980,11.070585489273071,6,891,951,3.3124468326568604,50,80,2.0,0.5
1113,226,6,6,0,0,1079,1121,9,1028,1118,12.0710289478302,7,1012,1082,52.30512070655823,50,80,2.0,0.5
1343,148,4,4,0,0,1338,1360,4,1273,1313,12.18887734413147,4,1273,1313,1.0161080360412598,50,80,2.0,0.5
795,81,3,3,0,0,806,809,4,725,765,7.362629175186157,3,723,753,1.709329605102539,50,80,2.0,0.5
3516,676,7,7,0,0,3522,3547,13,3409,3539,47.079596281051636,9,3334,3424,182.56484532356262,50,80,2.0,0.5
872,87,4,4,0,0,878,882,4,789,829,7.445565462112427,4,789,829,1.0750958919525146,50,80,2.0,0.5
679,144,4,4,0,0,725,683,5,662,712,7.279047966003418,4,652,692,0.23089146614074707,50,80,2.0,0.5
928,134,6,6,0,0,923,939,9,866,956,10.465240478515625,6,859,919,4.354322195053101,50,80,2.0,0.5
3693,581,8,8,0,0,3676,3744,17,3525,3695,41.8926362991333,8,3563,3643,36.55423712730408,50,80,2.0,0.5
1421,276,8,8,0,0,1450,1456,18,1323,1503,17.69301676750183,9,1342,1432,50.33051156997681,50,80,2.0,0.5
794,159,5,5,0,0,768,804,7,685,755,9.307238817214966,5,675,725,1.680774211883545,50,80,2.0,0.5
923,178,7,7,0,0,907,934,11,810,920,11.168097257614136,7,827,897,8.838462352752686,50,80,2.0,0.5
1538,204,5,5,0,0,1455,1555,7,1390,1460,16.650437831878662,5,1392,1442,7.762693881988525,50,80,2.0,0.5
1382,311,6,6,0,0,1396,1400,10,1290,1390,16.095491886138916,6,1273,1333,29.660459518432617,50,80,2.0,0.5
1023,198,5,5,0,0,1010,1047,10,907,1007,10.665358781814575,5,928,978,1.0403509140014648,50,80,2.0,0.5
2463,345,5,5,0,0,2526,2495,10,2426,2526,22.94958233833313,5,2446,2496,11.483557939529419,50,80,2.0,0.5
