nCospec,nIndividualDups,nAllDupEvents,nJointDups,nXtinc,nHostSwitch,nLineageSort,codivs,dups,losses,cost,sdTime,mrDups,mrLosses,mrCost,mrTime,nH,nP,rB,pJ
2979,485,6,6,0,0,3073,3020,8,2967,3047,267.10367345809937,7,2975,3045,2.2286219596862793,50,80,2.0,0.5
861,95,4,4,0,0,844,875,4,741,781,71.91992473602295,4,741,781,0.7521352767944336,50,80,2.0,0.5
906,276,5,5,0,0,891,931,6,785,845,92.81357002258301,5,793,843,0.5230464935302734,50,80,2.0,0.5
456,132,3,3,0,0,468,463,4,419,459,46.578832387924194,3,425,455,0.07386517524719238,50,80,2.0,0.5
917,134,4,4,0,0,906,926,5,827,877,84.90633249282837,5,828,878,0.6636626720428467,50,80,2.0,0.5
3106,936,9,9,0,0,3113,3189,14,2858,2998,413.1071033477783,14,2858,2998,280.764360666275,50,80,2.0,0.5
614,72,3,3,0,0,619,626,3,532,562,60.966416358947754,3,532,562,0.23765063285827637,50,80,2.0,0.5
983,103,4,4,0,0,1061,998,4,983,1023,101.58929824829102,4,983,1023,1.120063066482544,50,80,2.0,0.5
828,180,8,8,0,0,852,837,8,769,849,98.51309418678284,8,769,849,2.532212972640991,50,80,2.0,0.5
637,49,3,3,0,0,623,645,3,552,582,64.25785374641418,4,550,590,0.1762406826019287,50,80,2.0,0.5
1309,244,6,6,0,0,1301,1331,6,1226,1286,157.4673833847046,6,1226,1286,3.959994077682495,50,80,2.0,0.5
491,39,3,3,0,0,543,497,3,473,503,46.078728675842285,3,473,503,0.17431640625,50,80,2.0,0.5
770,121,3,3,0,0,736,776,3,662,692,77.13740563392639,3,662,692,0.10961079597473145,50,80,2.0,0.5
659,13,1,1,0,0,643,661,1,572,582,49.96490740776062,1,572,582,0.07166624069213867,50,80,2.0,0.5
1909,176,3,3,0,0,1934,1922,4,1892,1932,108.44347310066223,3,1901,1931,0.20649957656860352,50,80,2.0,0.5
809,274,6,6,0,0,791,834,7,673,743,99.55094528198242,7,676,746,3.2735486030578613,50,80,2.0,0.5
800,52,2,2,0,0,761,808,2,674,694,80.96051335334778,2,674,694,0.16251611709594727,50,80,2.0,0.5
1868,334,6,6,0,0,1904,1902,9,1799,1889,196.56341981887817,6,1824,1884,46.89141273498535,50,80,2.0,0.5
1297,281,9,9,0,0,1304,1329,9,1189,1279,165.97111225128174,9,1189,1279,42.298584938049316,50,80,2.0,0.5
919,111,6,6,0,0,905,927,6,839,899,95.51686882972717,7,837,907,65.3424665927887,50,80,2.0,0.5
676,84,4,4,0,0,719,686,4,631,671,72.14725065231323,4,631,671,0.1922597885131836,50,80,2.0,0.5
1645,149,3,3,0,0,1544,1661,3,1487,1517,137.7546329498291,5,1479,1529,0.195037841796875,50,80,2.0,0.5
3398,745,9,9,0,0,3321,3473,12,3130,3250,442.05122804641724,11,3128,3238,5086.260209560394,50,80,2.0,0.5
1777,396,7,7,0,0,1630,1815,8,1530,1610,254.86685228347778,9,1526,1616,8.813974857330322,50,80,2.0,0.5
1829,412,9,9,0,0,1851,1873,13,1684,1814,229.21690154075623,9,1713,1803,61.07275700569153,50,80,2.0,0.5
2753,576,9,9,0,0,2779,2804,12,2650,2770,362.2292926311493,10,2657,2757,254.2755904197693,50,80,2.0,0.5
865,75,3,3,0,0,943,874,3,870,900,93.59197783470154,3,870,900,0.2806224822998047,50,80,2.0,0.5
648,62,3,3,0,0,707,658,3,627,657,64.72817182540894,3,627,657,0.5078051090240479,50,80,2.0,0.5
487,52,5,5,0,0,571,490,5,477,527,39.90080261230469,5,477,527,0.6304562091827393,50,80,2.0,0.5
2060,442,6,6,0,0,2221,2106,8,2092,2172,254.95517110824585,8,2092,2172,5.144439935684204,50,80,2.0,0.5
763,74,3,3,0,0,765,767,3,714,744,89.74130034446716,3,714,744,0.19510865211486816,50,80,2.0,0.5
3216,838,11,11,0,0,3243,3300,16,3013,3173,521.8740448951721,14,3026,3166,389.0060558319092,50,80,2.0,0.5
660,254,7,7,0,0,660,687,8,529,609,83.03491926193237,7,537,607,1.9820711612701416,50,80,2.0,0.5
575,31,2,2,0,0,596,576,2,520,540,51.031776905059814,2,520,540,0.15964436531066895,50,80,2.0,0.5
746,87,5,5,0,0,740,754,5,646,696,73.71679186820984,6,644,704,1.9157230854034424,50,80,2.0,0.5
1486,342,6,6,0,0,1608,1511,8,1509,1589,169.62614679336548,6,1526,1586,2.335857629776001,50,80,2.0,0.5
3323,586,8,8,0,0,3297,3369,11,3170,3280,538.9650535583496,10,3176,3276,92.62368440628052,50,80,2.0,0.5
1227,255,7,7,0,0,1236,1253,7,1139,1209,157.65428161621094,8,1136,1216,29.0066876411438,50,80,2.0,0.5
1607,304,6,6,0,0,1475,1640,6,1373,1433,182.15075302124023,6,1373,1433,29.097389698028564,50,80,2.0,0.5
941,98,4,4,0,0,898,950,4,816,856,110.33729338645935,4,816,856,0.9513046741485596,50,80,2.0,0.5
2144,510,8,8,0,0,2194,2181,9,2102,2192,289.3522734642029,8,2109,2189,55.50852084159851,50,80,2.0,0.5
470,78,3,3,0,0,517,486,3,449,479,39.04226350784302,4,443,483,0.5147442817687988,50,80,2.0,0.5
1614,510,8,8,0,0,1569,1651,10,1473,1573,228.7746124267578,8,1478,1558,88.32091999053955,50,80,2.0,0.5
1307,160,4,4,0,0,1295,1318,6,1246,1306,120.80173254013062,6,1246,1306,0.8035943508148193,50,80,2.0,0.5
527,122,3,3,0,0,508,533,3,426,456,55.78830122947693,3,426,456,0.07309389114379883,50,80,2.0,0.5
1328,220,6,6,0,0,1447,1365,7,1335,1405,153.85870718955994,6,1343,1403,23.989014387130737,50,80,2.0,0.5
